slant_K12,polit_K12,slant_Cong,polit_Cong,slant_fire,polit_fire,slant_journ,polit_journ,slant_WHO,polit_WHO,slant_rang,polit_rang,slant_phys,polit_phys,slant_ASPCA,polit_ASPCA,slant_dent,polit_dent,slant_prof,polit_prof,slant_police,polit_police,slant_poll,polit_poll,slant_SC,polit_SC,slant_doc,polit_doc,slant_law,polit_law,slant_USPS,polit_USPS,slant_econ,polit_econ,slant_pharm,polit_pharm,slant_sci,polit_sci,slant_MLB,polit_MLB,Trust_K12,Trust_Cong,Trust_fire,Trust_journ,Trust_WHO,Trust_rang,Trust_phys,Trust_ASPCA,Trust_dent,Trust_prof,Trust_police,Trust_poll,Trust_SC,Trust_doc,Trust_law,Trust_USPS,Trust_econ,Trust_pharm,Trust_sci,Trust_MLB,slant_mech,polit_mech,slant_chefs,polit_chefs,slant_lib,polit_lib,slant_church,polit_church,slant_vet,polit_vet,slant_tailor,polit_tailor,slant_UN,polit_UN,slant_psych,polit_psych,slant_bank,polit_bank,slant_holly,polit_holly,slant_judge,polit_judge,slant_crim,polit_crim,slant_toll,polit_toll,slant_NFL,polit_NFL,slant_CIA,polit_CIA,slant_realestate,polit_realestate,slant_localbiz,polit_localbiz,slant_think,polit_think,slant_FB,polit_FB,slant_PETA,polit_PETA,Trust_mech,Trust_chefs,Trust_lib,Trust_church,Trust_vet,Trust_tailor,Trust_UN,Trust_psych,Trust_bank,Trust_holly,Trust_judge,Trust_crim,Trust_toll,Trust_NFL,Trust_CIA,Trust_realestate,Trust_localbiz,Trust_think,Trust_FB,Trust_PETA,Ideology
44,3,50,6,60,2,39,5,50,3,60,3,29,2,50,1,44,1,46,2,75,5,38,3,56,6,50,2,50,2,56,3,66,4,50,2,25,4,50,1,3,1,4,3,2,3,4,3,4,4,2,3,2,4,4,4,3,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,3,50,2,23,4,98,6,46,3,50,2,56,6,50,4,81,5,26,4,60,6,64,6,58,1,58,3,55,4,50,1,58,4,42,4,35,5,45,5,3,4,5,1,5,4,3,4,2,2,2,2,4,3,2,3,3,2,1,1,1
30,1,48,5,50,1,40,1,30,1,50,1,45,1,50,1,65,1,50,1,55,1,50,1,100,6,70,1,50,1,50,1,50,1,60,4,45,1,50,1,5,1,5,5,5,5,5,4,5,5,5,5,1,5,2,4,5,2,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,3,50,2,20,4,95,6,35,1,50,2,40,6,20,4,87,5,25,5,50,3,65,4,66,1,70,4,60,4,62,3,55,2,55,5,40,4,30,4,2,4,7,2,5,4,3,4,3,4,4,4,3,2,1,3,3,1,1,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,1,30,2,50,2,60,3,50,1,40,2,50,5,30,1,50,5,30,3,50,6,50,5,60,1,50,4,50,5,50,2,50,2,30,4,50,5,40,5,4,5,5,4,5,5,3,4,3,3,3,3,5,4,4,4,5,3,2,2,7
30,2,39,6,43,1,46,4,21,1,50,1,20,1,14,3,48,1,26,2,71,4,40,6,66,5,40,1,50,3,50,1,50,2,43,2,21,1,50,1,7,2,4,3,5,7,7,2,7,7,2,1,2,7,3,3,4,4,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,1,50,1,29,2,84,4,24,1,50,1,30,4,30,1,87,5,38,1,49,4,78,5,50,1,50,3,75,2,70,3,51,2,50,4,31,2,21,1,4,5,5,1,5,5,3,5,1,3,1,3,5,7,3,4,5,3,1,5,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,4,70,4,50,5,85,6,50,2,20,1,40,6,40,3,80,6,10,6,70,6,80,6,20,1,80,2,10,6,90,6,90,6,50,6,10,6,20,3,5,4,7,7,7,2,1,5,1,4,1,4,1,1,1,3,5,5,1,5,7
30,4,43,6,62,2,35,5,27,4,42,3,42,3,29,4,54,2,32,3,60,4,33,4,74,6,45,3,60,4,47,4,42,3,82,4,30,4,61,2,5,3,5,4,5,5,5,4,4,4,3,4,2,5,2,5,4,3,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
50,3,50,6,80,2,40,6,60,5,50,1,40,4,15,5,50,1,20,5,60,6,50,6,60,6,50,6,50,5,50,2,50,3,60,6,40,5,50,2,4,3,4,3,2,3,3,3,4,4,2,3,4,3,2,5,4,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,1,29,2,57,3,83,4,53,1,45,2,45,5,39,2,45,1,14,4,33,3,26,4,44,1,38,1,43,3,58,2,68,2,63,2,44,1,35,2,2,3,4,4,4,4,3,3,3,2,2,2,3,2,2,3,4,3,3,4,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,2,30,2,20,4,80,6,50,2,40,2,50,6,40,5,60,6,50,6,50,5,50,6,50,6,60,3,50,6,70,3,60,3,50,4,80,6,30,3,4,4,4,3,5,4,4,5,2,4,1,4,4,3,3,2,4,3,1,2,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,1,17,1,26,1,92,5,50,1,36,1,43,4,10,2,95,4,14,3,50,1,65,3,36,1,88,2,50,1,61,2,59,2,61,3,59,3,1,5,4,3,5,2,4,4,4,4,3,4,1,3,4,2,2,2,4,3,1,4,2
42,4,87,6,47,2,50,6,43,4,45,2,40,3,50,2,46,2,50,4,60,5,50,6,72,6,52,4,57,5,55,2,39,5,52,3,41,4,50,2,5,1,5,4,5,5,5,5,5,4,2,3,1,4,2,5,5,1,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
72,4,67,5,77,1,42,4,60,3,68,1,47,1,53,1,40,1,64,4,84,5,50,3,75,4,50,1,57,3,50,1,50,3,42,1,42,1,65,1,4,2,7,3,4,4,4,3,5,4,2,3,2,5,4,5,4,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,1,48,1,40,1,100,6,42,1,58,1,50,3,40,1,91,5,33,1,55,5,64,6,50,1,50,1,50,1,61,2,50,1,50,5,71,6,50,5,4,5,7,1,5,7,4,5,5,4,4,4,7,7,5,3,4,2,1,1,1
40,2,70,6,70,1,50,3,38,1,60,2,50,1,32,3,55,1,50,3,70,4,50,1,75,5,50,1,55,2,50,1,70,1,50,1,45,1,58,1,5,2,5,1,5,5,4,5,4,3,2,4,2,4,1,5,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
35,3,50,6,60,3,40,4,20,4,70,3,20,2,40,3,25,3,20,4,80,5,50,2,70,6,20,3,40,4,50,2,60,5,80,5,20,2,60,3,4,2,3,4,3,3,5,4,5,4,1,4,2,4,3,5,2,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40,2,30,6,70,1,10,5,10,6,40,1,80,2,10,6,70,1,20,6,81,4,20,5,75,6,70,2,10,6,9,6,40,6,80,2,50,2,80,1,5,2,7,2,2,7,7,5,7,3,5,4,4,7,3,3,4,5,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,2,36,3,50,4,92,6,40,3,24,4,60,4,29,3,85,5,29,5,59,4,75,6,50,2,81,5,74,4,50,4,60,4,70,5,30,5,0,6,4,4,7,2,5,5,5,5,3,5,5,4,5,2,5,4,4,4,2,4,2
50,5,68,6,87,1,50,5,0,2,89,6,31,4,14,3,24,3,27,4,87,5,37,5,100,6,64,5,64,5,71,5,67,4,69,4,29,2,50,4,5,5,5,5,5,4,5,4,4,5,5,5,4,5,4,5,5,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,2,30,3,20,4,60,4,40,3,50,1,10,5,20,5,40,2,5,6,30,5,55,4,30,1,35,2,65,4,40,2,50,3,50,5,10,5,30,4,4,4,4,4,4,4,1,2,4,2,1,4,5,4,3,4,4,2,1,3,6
50,4,50,6,75,1,30,5,50,1,50,1,50,1,50,1,50,1,25,5,85,4,50,1,61,6,50,1,50,2,50,1,50,3,50,4,50,2,50,1,4,2,7,2,5,7,7,2,2,4,3,4,3,3,3,2,2,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,1,50,1,20,3,75,5,50,1,50,1,50,6,60,2,65,2,25,3,55,4,50,5,60,1,45,3,50,2,55,2,50,3,50,4,50,5,10,5,2,3,5,1,7,4,4,5,3,4,3,4,4,2,4,2,3,5,1,4,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,2,24,2,14,3,94,5,28,4,36,2,50,6,24,4,24,1,45,3,64,6,99,5,60,1,12,3,70,4,59,3,66,2,38,4,74,4,84,6,2,4,5,1,4,4,2,3,3,4,2,2,4,3,1,4,5,1,1,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,1,50,1,50,1,50,1,50,1,50,1,50,1,50,1,50,1,50,1,50,1,50,1,50,1,50,1,50,1,50,1,50,1,50,1,50,1,50,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
20,4,35,5,48,4,50,5,33,1,56,1,16,2,25,2,25,2,13,2,60,4,36,4,73,5,28,1,50,3,42,1,27,3,50,4,16,2,50,2,4,1,4,2,5,4,5,4,3,4,2,3,2,5,2,2,3,2,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
19,4,50,6,59,1,29,5,10,3,41,2,44,1,37,2,71,1,17,3,89,5,50,6,66,6,67,1,64,4,43,1,67,4,92,4,9,1,57,1,7,1,7,5,7,7,5,5,4,4,1,2,2,7,2,5,3,1,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
60,2,20,6,60,1,46,4,51,2,45,1,50,2,50,1,54,1,51,3,80,4,50,2,37,5,60,1,61,3,50,1,42,2,66,2,50,2,50,1,4,2,5,2,3,4,4,4,5,3,4,2,2,5,4,3,3,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,4,30,3,66,4,73,5,50,1,39,1,32,5,50,4,50,2,18,5,61,4,50,2,50,1,63,3,50,2,50,3,64,4,50,4,29,5,23,4,5,4,5,2,5,4,4,5,4,3,3,5,5,4,5,4,4,5,2,7,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,3,25,2,5,5,81,6,7,1,50,3,24,6,18,4,49,3,50,5,59,6,66,6,49,2,65,3,82,6,50,3,49,2,50,2,83,6,28,6,5,7,7,2,7,5,4,4,2,2,1,1,5,3,1,2,4,3,1,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,1,50,1,40,1,79,4,40,1,50,1,50,6,30,2,60,5,20,5,50,6,80,6,50,1,60,4,80,6,50,1,60,2,50,1,20,1,20,5,3,3,3,2,4,3,3,3,2,2,3,2,3,2,1,3,3,3,1,1,3
50,3,52,6,74,2,27,4,30,4,50,2,32,2,21,5,60,3,18,4,72,5,41,3,70,6,40,4,44,5,61,1,50,4,78,5,20,3,81,3,4,2,3,3,3,4,4,4,4,4,3,2,2,4,4,2,3,1,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,6,1,6,100,6,0,6,0,6,0,6,0,6,100,6,23,6,13,6,100,6,20,6,0,6,0,6,63,6,15,6,26,6,25,6,23,6,79,6,2,1,7,1,1,3,1,7,3,3,4,2,1,3,2,4,2,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
51,6,88,5,84,3,28,4,55,3,53,3,34,4,63,4,57,4,72,5,100,6,62,5,71,5,56,3,77,3,42,2,53,2,77,5,33,4,64,3,3,1,2,4,2,3,3,2,2,2,1,2,1,4,3,5,2,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
50,3,50,6,75,2,50,5,20,3,21,2,18,1,39,1,34,1,19,3,81,5,50,4,50,6,29,2,50,4,50,1,50,3,50,3,19,2,60,1,4,2,3,2,4,4,5,4,4,4,1,3,2,4,4,4,4,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,4,45,3,15,5,90,6,30,2,50,1,50,6,24,1,60,4,20,4,50,4,60,3,50,1,40,2,65,4,60,3,55,3,50,2,45,4,10,5,5,4,7,3,7,3,5,5,3,4,2,4,5,3,3,4,5,4,1,2,2
50,5,49,6,66,2,39,6,42,5,13,3,18,2,18,3,49,2,22,4,86,6,29,6,81,6,56,3,28,5,52,1,70,4,72,4,30,4,79,1,5,1,5,2,3,7,5,2,5,3,1,2,1,4,3,5,2,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,3,32,1,26,1,100,6,31,1,19,1,52,1,24,2,89,3,29,2,87,5,88,5,23,1,88,2,50,2,71,2,50,3,81,4,15,3,1,6,1,7,7,1,5,5,5,4,4,4,4,2,4,1,5,3,3,2,4,2,4
45,4,41,6,49,1,23,2,18,1,50,1,19,2,16,1,50,1,17,3,50,4,50,4,62,6,29,3,18,3,50,1,50,3,86,4,13,3,50,1,5,3,5,5,5,5,5,5,5,5,5,5,3,5,3,4,3,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
50,1,50,2,50,2,50,5,57,1,56,1,56,1,56,1,49,1,49,1,67,2,49,5,75,6,49,1,49,1,49,1,49,1,51,1,49,1,56,1,5,3,4,2,5,5,5,3,4,5,2,1,2,5,4,3,4,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,1,60,1,60,1,100,4,50,1,50,1,20,5,30,1,50,2,10,2,50,5,50,4,50,1,25,2,49,2,50,1,49,1,30,3,30,2,8,3,4,7,7,1,7,7,5,7,5,3,5,4,7,5,5,4,5,5,3,4,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,2,50,2,30,3,80,5,20,4,50,2,60,4,50,3,50,2,19,5,50,4,50,5,50,2,50,2,70,3,50,2,50,3,50,4,31,4,10,5,3,5,5,1,5,5,2,1,3,1,1,1,5,4,1,4,4,3,1,3,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,3,18,1,20,2,8,4,60,1,10,1,7,5,23,3,28,1,16,4,69,4,68,4,28,1,24,2,26,3,30,1,76,2,24,2,13,4,6,5,4,5,5,2,5,5,1,3,2,1,1,3,5,4,1,5,1,3,1,1,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,2,50,2,20,5,70,3,50,1,60,1,40,4,50,1,50,1,90,5,50,2,50,2,60,1,50,3,30,3,50,2,70,2,50,4,45,3,40,2,4,4,4,4,5,5,1,4,2,4,1,3,4,1,1,4,5,2,2,3,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,1,50,1,30,1,75,4,40,1,50,1,35,5,50,1,60,1,30,5,50,3,50,5,50,1,40,1,50,5,50,1,50,1,50,6,50,5,10,6,4,4,4,2,4,4,2,4,2,3,1,2,4,4,1,4,4,1,1,2,3
20,6,99,6,95,3,43,4,27,5,32,3,55,2,38,4,56,2,9,6,98,6,84,5,85,6,58,2,57,3,56,2,77,5,86,5,45,4,66,2,7,2,1,2,3,2,5,4,4,7,1,2,1,5,2,1,2,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
29,3,47,6,34,3,32,5,12,4,57,3,27,3,13,2,44,2,26,4,53,4,39,4,70,5,29,3,33,3,23,2,38,4,54,4,36,3,53,2,4,3,5,4,5,4,5,5,4,4,3,3,3,5,4,4,3,2,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
25,2,50,5,67,1,50,4,23,2,50,1,30,2,15,3,38,1,48,3,68,5,50,2,50,4,37,1,40,4,50,1,50,4,50,2,36,2,50,1,5,4,5,4,7,4,4,7,5,4,3,4,5,5,3,4,5,3,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
40,3,50,6,68,4,50,5,15,3,65,2,16,3,30,4,50,2,32,4,75,5,50,4,60,6,43,3,50,4,50,1,46,4,75,4,36,4,90,5,5,3,4,4,5,4,5,5,5,5,2,3,4,5,3,3,5,1,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,1,30,1,10,1,100,6,10,1,50,1,40,6,5,2,80,6,25,1,90,6,100,6,50,1,80,5,50,1,40,1,70,5,80,6,70,6,10,4,4,5,7,1,7,5,1,5,1,1,3,1,7,1,1,4,2,1,1,3,1
50,5,50,6,50,3,50,6,50,3,50,2,50,1,50,4,50,3,50,6,50,5,50,4,50,6,50,3,50,3,50,3,50,3,50,5,50,4,50,3,5,3,5,2,5,7,7,5,5,5,5,5,5,5,3,5,5,2,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,3,33,2,14,4,89,4,20,2,56,3,42,5,25,3,65,3,5,5,69,4,77,4,70,3,78,2,84,4,60,3,64,4,54,4,68,4,4,5,3,2,4,2,4,3,3,3,2,2,2,2,3,2,2,3,2,2,1,2,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,3,50,3,30,4,40,5,35,2,40,2,25,4,50,3,50,2,35,3,65,4,60,4,50,3,50,2,50,2,60,3,50,4,40,3,30,5,30,4,5,5,7,7,5,4,4,5,5,4,2,2,4,2,5,3,4,3,1,4,3
10,5,40,3,75,4,30,3,10,4,40,3,37,4,10,5,45,1,25,3,77,5,44,2,76,6,42,2,45,3,42,1,53,3,70,5,40,2,56,1,4,3,3,5,7,7,7,4,3,4,3,4,2,7,2,4,5,3,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,6,49,3,33,4,51,5,50,3,50,3,31,6,23,4,36,4,3,6,50,3,50,3,50,3,49,3,50,3,50,3,71,4,73,4,17,5,0,6,7,4,4,1,5,5,5,2,2,4,1,4,4,2,4,3,5,4,2,1,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,1,44,1,30,1,91,4,50,1,39,1,48,6,42,3,70,6,36,3,53,6,72,5,56,1,37,1,61,2,57,2,62,2,76,2,61,3,45,2,4,5,7,1,5,5,5,5,3,4,4,2,5,5,4,4,5,3,3,3,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,1,50,1,50,1,36,2,50,1,50,1,57,3,71,2,15,4,50,2,66,2,74,2,50,2,50,1,50,1,50,2,61,3,50,1,50,2,60,2,7,7,7,3,7,5,7,5,4,4,3,5,5,4,7,4,5,3,3,5,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,4,40,5,25,3,81,3,35,2,55,2,44,4,38,4,65,3,19,4,65,5,70,4,42,3,50,4,60,3,57,1,61,3,40,4,40,5,30,3,4,5,5,2,5,5,4,5,5,5,2,5,4,3,5,2,5,2,2,3,5
50,1,42,5,50,1,50,6,39,6,50,1,50,2,50,1,50,1,50,5,50,5,50,1,50,6,50,4,50,4,50,1,50,4,50,4,50,2,50,1,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
50,5,38,5,50,1,19,6,27,5,70,2,50,2,10,5,50,2,1,6,64,2,11,5,65,6,50,2,50,3,50,2,50,5,72,5,50,2,50,1,4,1,5,1,2,5,5,4,5,2,3,3,5,4,3,3,5,2,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,5,14,3,60,2,90,6,50,1,50,1,50,4,50,4,60,2,10,5,50,6,50,6,50,1,40,2,50,5,49,4,50,3,21,5,8,6,50,3,2,5,5,1,5,5,3,3,2,1,1,1,5,2,2,3,3,1,1,4,3
50,1,30,6,50,3,50,5,50,3,49,1,50,1,50,1,50,1,50,1,85,5,44,6,49,6,50,1,50,1,85,5,50,6,50,6,50,1,50,1,5,2,5,1,4,5,5,5,5,5,5,5,4,4,3,5,4,3,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,1,50,1,50,1,50,6,50,1,50,1,50,6,50,1,50,1,50,6,50,6,50,6,50,1,50,1,50,6,50,1,50,1,50,1,50,6,50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
15,3,50,6,60,1,20,5,25,2,20,2,15,1,10,2,60,1,10,4,80,3,20,3,66,5,60,1,50,4,40,1,70,4,55,1,40,3,65,3,4,1,5,3,4,5,7,5,7,4,4,4,4,7,2,3,4,2,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,1,38,2,10,4,71,5,35,1,49,2,77,5,36,5,81,3,29,4,72,4,73,5,41,1,65,1,82,6,69,3,50,3,50,3,68,4,7,6,3,3,5,1,5,4,4,5,2,2,1,3,5,2,1,2,4,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,2,36,2,20,3,91,4,40,2,50,2,30,5,24,3,64,3,29,4,66,5,60,4,50,2,38,3,60,4,61,3,31,3,40,3,71,4,8,5,3,3,5,1,3,3,4,4,2,1,2,1,3,2,1,2,4,2,1,2,1
0,6,49,6,100,1,0,6,0,6,49,1,49,1,49,1,49,1,0,6,100,3,0,6,100,6,51,1,49,1,49,1,49,1,49,1,49,1,49,1,1,1,7,1,1,7,7,7,7,1,7,1,4,1,4,4,4,1,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
31,3,42,5,65,2,50,4,50,2,94,5,18,1,50,1,84,3,68,2,98,5,50,3,98,6,56,1,17,3,50,2,82,5,97,6,34,1,60,4,4,2,5,3,4,4,4,4,5,5,3,4,1,5,2,3,2,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,1,50,1,50,1,91,1,50,1,50,1,50,1,50,2,50,3,30,5,50,3,50,5,50,1,50,1,10,5,50,1,50,1,50,1,38,5,81,5,4,5,5,5,5,4,5,5,2,3,2,4,4,5,1,3,4,3,1,5,7
40,4,43,6,50,1,30,5,20,4,30,5,19,2,39,2,69,1,6,5,79,3,50,3,64,6,45,1,40,4,72,1,55,2,82,4,9,1,69,1,5,2,5,3,5,5,5,5,5,5,4,4,4,5,3,4,5,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,2,53,1,26,1,59,3,56,1,29,1,33,2,29,1,67,2,21,1,52,2,77,3,44,1,71,2,53,3,54,1,46,2,46,5,34,2,18,4,4,5,5,2,5,5,4,5,3,3,3,2,5,3,2,5,5,2,2,3,1
