slant_K12,polit_K12,slant_Cong,polit_Cong,slant_fire,polit_fire,slant_journ,polit_journ,slant_WHO,polit_WHO,slant_rang,polit_rang,slant_phys,polit_phys,slant_ASPCA,polit_ASPCA,slant_dent,polit_dent,slant_prof,polit_prof,slant_police,polit_police,slant_poll,polit_poll,slant_SC,polit_SC,slant_doc,polit_doc,slant_law,polit_law,slant_USPS,polit_USPS,slant_econ,polit_econ,slant_pharm,polit_pharm,slant_sci,polit_sci,slant_MLB,polit_MLB,Trust_K12,Trust_Cong,Trust_fire,Trust_journ,Trust_WHO,Trust_rang,Trust_phys,Trust_ASPCA,Trust_dent,Trust_prof,Trust_police,Trust_poll,Trust_SC,Trust_doc,Trust_law,Trust_USPS,Trust_econ,Trust_pharm,Trust_sci,Trust_MLB,slant_mech,polit_mech,slant_chefs,polit_chefs,slant_lib,polit_lib,slant_church,polit_church,slant_vet,polit_vet,slant_tailor,polit_tailor,slant_UN,polit_UN,slant_psych,polit_psych,slant_bank,polit_bank,slant_holly,polit_holly,slant_judge,polit_judge,slant_crim,polit_crim,slant_toll,polit_toll,slant_NFL,polit_NFL,slant_CIA,polit_CIA,slant_realestate,polit_realestate,slant_localbiz,polit_localbiz,slant_think,polit_think,slant_FB,polit_FB,slant_PETA,polit_PETA,Trust_mech,Trust_chefs,Trust_lib,Trust_church,Trust_vet,Trust_tailor,Trust_UN,Trust_psych,Trust_bank,Trust_holly,Trust_judge,Trust_crim,Trust_toll,Trust_NFL,Trust_CIA,Trust_realestate,Trust_localbiz,Trust_think,Trust_FB,Trust_PETA,Ideology
52,2,65,6,56,2,54,4,58,2,46,2,44,2,24,4,58,2,44,3,86,5,50,3,75,6,46,2,60,3,50,2,70,4,80,5,46,2,85,2,5,1,5,4,3,4,5,4,4,4,1,4,1,4,2,4,2,2,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
29,4,76,5,60,4,47,5,65,5,40,4,57,5,23,5,64,5,69,5,71,5,52,5,81,6,52,4,71,5,64,4,59,4,68,5,57,5,69,5,5,2,5,5,5,5,5,5,4,4,4,3,4,4,4,5,4,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,1,52,1,41,2,74,5,52,1,48,1,42,3,42,3,75,1,50,1,49,3,51,5,50,1,50,1,47,5,50,1,48,1,66,1,32,5,34,4,5,7,7,3,7,5,4,5,5,7,2,3,7,3,1,4,4,5,1,5,3
50,3,68,6,50,1,40,5,39,4,37,1,50,4,23,1,34,1,32,4,87,6,50,4,70,6,61,4,35,4,37,1,74,5,39,2,10,4,64,1,5,1,5,2,4,4,4,5,5,4,1,3,1,3,3,5,4,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,2,50,2,30,4,93,5,50,2,50,2,38,3,22,4,50,2,17,4,49,3,50,4,50,2,50,3,34,4,50,4,61,4,32,5,62,2,44,4,3,3,3,3,3,3,3,3,4,4,2,2,3,2,4,3,3,3,2,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,2,50,1,25,1,66,6,42,1,38,1,70,5,58,1,80,1,75,4,66,4,77,6,3,1,50,3,65,4,58,2,28,3,50,2,50,2,0,1,4,7,5,1,3,5,4,5,5,3,3,1,5,3,2,3,5,3,2,4,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,2,30,3,40,3,50,3,50,3,40,2,30,5,20,5,70,3,10,5,50,5,40,5,40,1,50,2,70,3,40,2,85,3,40,5,0,6,0,6,2,5,5,4,5,5,1,4,4,4,2,3,5,2,4,3,4,3,1,1,6
50,3,40,4,50,2,45,6,45,4,45,3,40,3,50,2,60,2,40,4,84,6,50,3,75,6,60,4,70,5,40,2,60,5,70,5,40,4,50,1,5,2,5,1,3,4,7,5,2,4,1,2,1,3,1,5,2,1,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,3,51,3,37,4,95,6,33,4,50,2,30,4,24,5,50,4,4,6,84,6,57,5,59,6,61,4,40,5,71,2,57,5,51,2,37,5,28,6,2,4,4,2,5,5,5,5,3,2,2,2,2,2,4,3,4,3,4,3,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,1,50,1,25,4,50,4,50,1,50,1,25,5,20,5,75,5,15,5,50,5,50,3,50,1,50,4,25,5,50,1,75,4,50,5,10,5,10,5,4,5,4,5,5,5,1,4,1,5,1,4,5,5,1,4,5,4,1,1,6
21,2,49,4,66,2,25,2,12,3,42,2,20,2,9,2,49,3,30,2,70,3,49,3,72,5,38,3,49,4,30,2,45,2,52,4,29,2,76,4,5,2,5,4,5,5,5,5,4,5,4,4,4,4,4,5,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
