Slant_Anthro,Polit_Anthro,Slant_EnvSci,Polit_EnvSci,Slant_Comm,Polit_Comm,Slant_Music,Polit_Music,Slant_PoliSci,Polit_PoliSci,Slant_Math,Polit_Math,Slant_Chem,Polit_Chem,Slant_CompSci,Polit_CompSci,Slant_Phil,Polit_Phil,Slant_Bio,Polit_Bio,Slant_Soc,Polit_Soc,Slant_Art,Polit_Art,Slant_EthnStud,Polit_EthnStud,Slant_ReligStud,Polit_ReligStud,Slant_SocWork,Polit_SocWork,Trust_Anthro,Trust_EnvSci,Trust_Comm,Trust_Music,Trust_PoliSci,Trust_Math,Trust_Chem,Trust_CompSci,Trust_Phil,Trust_Bio,Trust_Soc,Trust_Art,Trust_EthnStud,Trust_ReligStud,Trust_SocWork,Approp_Anthro,Approp_EnvSci,Approp_Comm,Approp_Music,Approp_PoliSci,Approp_Math,Approp_Chem,Approp_CompSci,Approp_Phil,Approp_Bio,Approp_Soc,Approp_Art,Approp_EthnStud,Approp_ReligStud,Approp_SocWork,Skept_Anthro,Skept_EnvSci,Skept_Comm,Skept_Music,Skept_PoliSci,Skept_Math,Skept_Chem,Skept_CompSci,Skept_Phil,Skept_Bio,Skept_Soc,Skept_Art,Skept_EthnStud,Skept_ReligStud,Skept_SocWork,Slant_Educ,Polit_Educ,Slant_ForLang,Polit_ForLang,Slant_Psych,Polit_Psych,Slant_Econ,Polit_Econ,Slant_Eng,Polit_Eng,Slant_Bus,Polit_Bus,Slant_Phys,Polit_Phys,Slant_Nurs,Polit_Nurs,Slant_Hist,Polit_Hist,Slant_EarthSci,Polit_EarthSci,Slant_IT,Polit_IT,Slant_Lit,Polit_Lit,Slant_PubHealth,Polit_PubHealth,Slant_CrimJust,Polit_CrimJust,Slant_GenStud,Polit_GenStud,Trust_Educ,Trust_ForLang,Trust_Psych,Trust_Econ,Trust_Eng,Trust_Bus,Trust_Phys,Trust_Nurs,Trust_Hist,Trust_EarthSci,Trust_IT,Trust_Lit,Trust_PubHealth,Trust_CrimJust,Trust_GenStud,Approp_Educ,Approp_ForLang,Approp_Psych,Approp_Econ,Approp_Eng,Approp_Bus,Approp_Phys,Approp_Nurs,Approp_Hist,Approp_EarthSci,Approp_IT,Approp_Lit,Approp_PubHealth,Approp_CrimJust,Approp_GenStud,Skept_Educ,Skept_ForLang,Skept_Psych,Skept_Econ,Skept_Eng,Skept_Bus,Skept_Phys,Skept_Nurs,Skept_Hist,Skept_EarthSci,Skept_IT,Skept_Lit,Skept_PubHealth,Skept_CrimJust,Skept_GenStud,Ideology,PolParty
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,4,35,4,56,4,56,4,63,4,55,4,58,4,45,4,32,4,35,4,65,4,51,4,42,4,64,4,22,4,4,3,4,4,4,4,4,4,4,4,4,5,3,4,3,5,5,5,4,4,5,4,4,4,4,4,5,5,5,4,4,4,4,3,2,4,3,4,3,4,4,5,3,4,3,6,1
40,2,30,2,30,2,30,2,30,2,35,2,35,2,20,2,25,2,30,2,30,2,30,2,30,2,65,3,35,3,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3
50,2,50,3,49,2,50,1,49,3,47,1,49,2,50,3,49,3,50,2,49,3,49,1,50,5,50,4,50,2,2,3,2,4,3,4,3,3,3,3,2,3,2,5,3,1,3,1,2,4,1,3,3,3,3,3,2,4,1,1,4,4,4,3,4,2,3,4,5,4,4,3,5,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,2,21,2,60,2,85,5,45,3,89,4,40,2,35,1,40,2,45,1,70,3,46,2,25,1,80,5,40,2,2,3,4,1,3,1,2,4,1,1,3,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,7,2,7,3,2,4,2,2,3,2,2,4,3,2
20,5,9,6,60,4,29,4,51,4,51,2,33,2,25,4,24,5,40,4,18,5,8,5,9,5,61,5,19,5,5,5,4,4,4,4,3,4,4,5,4,4,5,3,4,5,4,2,2,4,1,1,2,2,2,3,3,5,1,3,3,5,4,4,5,3,3,4,5,3,5,3,5,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,3,46,2,74,3,42,2,51,2,32,3,52,2,49,1,61,3,57,2,51,1,64,3,49,2,51,4,21,5,4,4,3,4,5,2,4,5,4,4,4,5,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,5,3,5,3,3,3,3,3,5,3,3,5,4,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,3,36,3,26,4,53,5,32,3,36,4,52,1,56,2,39,3,57,2,52,2,52,4,42,2,49,2,25,5,5,4,4,4,5,3,5,5,4,7,4,5,5,5,5,3,1,1,1,1,2,1,1,3,1,1,1,1,4,4,3,1,3,2,1,3,1,1,2,2,1,2,1,3,3,2,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,3,31,2,25,2,65,3,50,1,65,4,23,1,40,2,62,4,35,2,34,2,31,2,43,3,75,3,20,4,2,2,3,2,4,2,4,4,2,4,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,7,2,5,2,4,3,2,4,2,4,5,3,3,3
38,3,1,6,22,4,45,3,67,5,30,2,50,2,33,4,33,4,38,1,6,5,45,2,15,3,81,5,36,4,3,2,4,7,3,5,7,4,2,7,1,3,3,2,3,2,2,2,1,2,1,1,1,3,1,4,1,1,2,3,3,5,4,3,3,2,2,3,7,2,7,2,5,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,5,20,3,10,4,51,4,70,2,51,3,30,2,51,3,10,4,20,2,30,2,20,3,51,2,40,4,9,5,4,4,5,3,2,2,3,3,4,3,3,4,3,3,4,3,1,3,1,1,1,1,1,2,1,1,1,1,2,3,3,2,3,4,2,2,2,2,3,2,2,3,2,3,3,1,2
